1,ad,81.926
2,¿ÀÁØ¿ì,27.043
3,1dfg,24.056
4,1\,18.530
5,fff,17.138
6,aaa,15.544
7,1,13.860
8,ttt,12.497
9,aaa,12.059
10,bbb,11.097
11,1ff,10.269
12,sf,8.929
13,1,8.786
14,sdf,8.656
15,ddf,7.930
16,as,7.930
17,acc,7.930
